"taskID","track","automatedTranscription","sort","sortTwo"
"91342","  2108_Bust_of_Euripides_Chunk_3.mp3","culture war was a necessity and inevitability everybody expected there to be war continuously every year but you rupees really","3","Bust_of_Euripides"
"91343","  2108_Bust_of_Euripides_Chunk_4.mp3","expose the Horrors of that particular ideology he showed not only the suffering of individual people in places like the Trojan women are in heck","4","Bust_of_Euripides"
"91344","  2108_Bust_of_Euripides_Chunk_5.mp3","the victims of War removal from my mind is the most interesting he explored what war does to the victors the people who think","5","Bust_of_Euripides"
"91345","  2108_Bust_of_Euripides_Chunk_6.mp3","the people who think war has been for them but he showed not only how the arguments that people use to justify their behaviour","6","Bust_of_Euripides"
"91346","  2108_Bust_of_Euripides_Chunk_7.mp3","their minds and their attitudes they also showed have temporary victory was and how victory itself could lead people into the damaging","7","Bust_of_Euripides"
"91347","  2108_Bust_of_Euripides_Chunk_8.mp3","starting positions in this way he only had a message for the Greeks of his own time locked as they were in the peloponnesian war","8","Bust_of_Euripides"
"91348","  2108_Bust_of_Euripides_Chunk_9.mp3","please add a message that's been particularly relevant to modern times that is not by chance that you reproduce has been the most produced writer from the Greek theatre","9","Bust_of_Euripides"
"91295","  2102_Caryatid_Chunk_0.mp3","Cambridge professor who bought this colossal statue to England and early 19th century originally identified as demeter The Greek goddess of corn","0","Caryatid"
"91296","  2102_Caryatid_Chunk_1.mp3","you come across as a village near Athens the site of important ancient sanctuary to the goddess the modern eleusinian reverted","1","Caryatid"
"91297","  2102_Caryatid_Chunk_2.mp3","Dimitri and creditor with a success of the harvest in fact was Professor and villages were quite wrong imposing no it is the statue","2","Caryatid"
"91298","  2102_Caryatid_Chunk_3.mp3","it's not the goddess herself but one of her priestesses she was one of a pair of caryatids female figures supporting the lintel of a monument of Gateway","3","Caryatid"
"91299","  2102_Caryatid_Chunk_4.mp3","the Sanctuary the gorgon's had wrote that you can see on her breast was probably intended to ward off Evil the cylindrical vessel on this carry out its head","4","Caryatid"
"91300","  2102_Caryatid_Chunk_5.mp3","sister and it was decorated with emblems on items associated of the rituals of the metis Sanctuary ears of corn rosettes cakes bundles","5","Caryatid"
"91301","  2102_Caryatid_Chunk_6.mp3","cast directly by the figures Brow is a vessel that probably contain the key on a sacred a drink used during the initiation ceremony","6","Caryatid"
"91302","  2102_Caryatid_Chunk_7.mp3","a mystery religion and devotees were sworn to secrecy it is still not Known precisely what might have been carried in this priestess is sister","7","Caryatid"
"91478","  2903_Celadon_bowl_Chunk_0.mp3","how many of the forms and decorative techniques of courier pottery are inherited from China the method by which this ball is decorated was unique","0","Celadon_bowl"
"91479","  2903_Celadon_bowl_Chunk_1.mp3","the technique is called Sangam and involved in sizing the unfired clay and filling it with a white and or black slip","1","Celadon_bowl"
"91480","  2903_Celadon_bowl_Chunk_2.mp3","covered in a thin celadon glaze with for fire the technique was probably inspired by bronze vessels inlaid with silver and lacquer work inlaid with iridescent shell","2","Celadon_bowl"
"91481","  2903_Celadon_bowl_Chunk_3.mp3","in the centre of this larger bowl a chrysanthemum Bloom is surrounded by floral scroll is probably used for holding tea which was drunk so","3","Celadon_bowl"
"91482","  2903_Celadon_bowl_Chunk_4.mp3","as well as being used by Buddhist monks as a kind of stimulant to keep them awake during long ceremony according to an eighth century Chinese Scholar","4","Celadon_bowl"
"91483","  2903_Celadon_bowl_Chunk_5.mp3","better taken from Green glazed bowls and from where","5","Celadon_bowl"
"91464","  2902_Celadon_ewer_Chunk_0.mp3","decorators of courier ceramics like to take their scenes from nature and you'll see around the gallery many vessels with inside inlay door painted","0","Celadon_ewer"
"91465","  2902_Celadon_ewer_Chunk_1.mp3","clouds Birds foliage and flowers sometimes the stripes the vessels themselves replicated natural forms this Is Us","1","Celadon_ewer"
"91470","  2902_Celadon_ewer_Chunk_2.mp3","probably used for pouring wine is Carved Into the shape of a melon in the gallery you'll see other drugs look like God's celadon Ware","2","Celadon_ewer"
"91471","  2902_Celadon_ewer_Chunk_3.mp3","originated in China the courier craftsman refined it into a distinctly career not form they developed the sinner what translucent glaze than that Chinese count","3","Celadon_ewer"
"91472","  2902_Celadon_ewer_Chunk_4.mp3","used and this allowed for the delicate incised decoration to be seen more clearly look at the Floral motifs on the body of this year Jane","4","Celadon_ewer"
"91473","  2902_Celadon_ewer_Chunk_5.mp3","are the British Museum talks about Korean pottery and ceramics are quite different from Chinese ceramics because they're not","5","Celadon_ewer"
"91474","  2902_Celadon_ewer_Chunk_6.mp3","perfect does Chinese ceramics Chinese produced and they are in the rights of perfect shape of Korean ceramics sometimes wonky","6","Celadon_ewer"
"91475","  2902_Celadon_ewer_Chunk_7.mp3","electrical not only are the shapes a symmetrical they're also natural shapes like flowers and vegetables and animals the Koreans love to make","7","Celadon_ewer"
"91476","  2902_Celadon_ewer_Chunk_8.mp3","it's like that and the decoration of Korean ceramics sometimes has a strange sort of proportion so that one side of the decoration","8","Celadon_ewer"
"91477","  2902_Celadon_ewer_Chunk_9.mp3","lotus flower is much too big willow tree is much too small and out of proportion to each other that sort of shows outside of the Korean nature","9","Celadon_ewer"
"91466","  2902_Celadon_ewer_Chunk_10.mp3","passionate spontaneous and it's almost different unplanned the way the ceramics turn out but on the other hand there's also an austere side","10","Celadon_ewer"
"91467","  2902_Celadon_ewer_Chunk_11.mp3","Korean taste which fits in with Neo confucianism and the strictness of neo-confucianism and the idea that ceramics","11","Celadon_ewer"
"91468","  2902_Celadon_ewer_Chunk_12.mp3","decorated ceramics particularly plain white ceramics are really the most attractive and the most subtle and they don't","12","Celadon_ewer"
"91469","  2902_Celadon_ewer_Chunk_13.mp3","like very garish decoration overglaze enamel decoration","13","Celadon_ewer"
"91460","  2901_Celadon_vase_Chunk_0.mp3","this vessel but it's tapering body round shoulders and small mouth is called a maybe it was one of the most popular forms a man","0","Celadon_vase"
"91461","  2901_Celadon_vase_Chunk_1.mp3","Potters and derived from a Chinese shape the Mae ping which means vase for plum Blossoms in fact this Korean example was probably used for storing wine","1","Celadon_vase"
"91462","  2901_Celadon_vase_Chunk_2.mp3","original had a lid the dark colour that contrasts sharply with the delicate greens of most other courier celadon was achieved by coating the vessel","2","Celadon_vase"
"91463","  2901_Celadon_vase_Chunk_3.mp3","iron pigments before glazing it pigment turned black and fiery small decoration has been Carved Into The Clay and filled with a y","3","Celadon_vase"
"91484","  2904_Celedon_kundika_Chunk_0.mp3","this elegant vessel is called a porch on because it's a water sprinkler that was originally used in Buddhist ceremonies","0","Celedon_kundika"
"91485","  2904_Celedon_kundika_Chunk_1.mp3","which was the 12th century when this one was made to be used in everyday life for storing liquid the small spot on the body would originally had a hinge","1","Celedon_kundika"
"91486","  2904_Celedon_kundika_Chunk_2.mp3","and it's through this aperture that was filled the water was and pulled out from the Slender spout at the top strikers derived from Chinese","2","Celedon_kundika"
"91487","  2904_Celedon_kundika_Chunk_3.mp3","muscles but it originated ultimately in India need for semi translucent green glaze of this vessel you can see delicately in size motifs","3","Celedon_kundika"
"91488","  2904_Celedon_kundika_Chunk_4.mp3","drawn from the Natural World look at the Lotus petals on the neck and see if you can make up the clouds with cranes flying among them lower down the body itself","4","Celedon_kundika"
"91489","  2904_Celedon_kundika_Chunk_5.mp3","willow trees on one side and reads on the other more love to slay as a dotted around and a Monsters foliage at ducks cranes and geese","5","Celedon_kundika"
"91520","  303-charles-7th-earl-northampton_Chunk_0.mp3","in December 1758 the English writer Lady Mary Wortley Montagu Rose excitedly to a friend from Florence","0","charles_th_earl_northampton"
"91521","  303-charles-7th-earl-northampton_Chunk_1.mp3","Northampton is now here he is Lively and goodnight heard with what it's called a pretty figure this out of oil","1","charles_th_earl_northampton"
"91523","  303-charles-7th-earl-northampton_Chunk_2.mp3","same here in Rome and while the prettiness or otherwise of his figure might be debated the painter pompeo batoni clearly able to confirm Montagues favourable up in","2","charles_th_earl_northampton"
"91524","  303-charles-7th-earl-northampton_Chunk_3.mp3","character is an affable sensitive face and a reflective moment northampton's clothing is impeccably aristocratic look at it","3","charles_th_earl_northampton"
"91525","  303-charles-7th-earl-northampton_Chunk_4.mp3","the shoes with red heels mattress for lined Cape this is not a man solely concerned with a material world a leather-bound book lies open","4","charles_th_earl_northampton"
"91526","  303-charles-7th-earl-northampton_Chunk_5.mp3","marble table on which she leans a quill pen in an Inkwell is within easy reach way to imagine perhaps that the oil has been studying a text and it's looking","5","charles_th_earl_northampton"
"91527","  303-charles-7th-earl-northampton_Chunk_6.mp3","to pursue a thought he ignores the attention of his adoring dog to gaze into the eyes of Minerva the Roman goddess of wisdom and the Arts","6","charles_th_earl_northampton"
"91528","  303-charles-7th-earl-northampton_Chunk_7.mp3","is busted copy from a statue of the goddess was particularly popular with English tourists to Rome in the 1780s according to the German writer Guta heathen","7","charles_th_earl_northampton"
"91529","  303-charles-7th-earl-northampton_Chunk_8.mp3","Richmond used to worship and kiss it hands-on payable Tony has been accused of being formulaic other portraits use comparable poses","8","charles_th_earl_northampton"
"91530","  303-charles-7th-earl-northampton_Chunk_9.mp3","Minerva a similar arrangement of Dogs Are Faithful Hound but this ignores the sense of character would like the artist in Bude the Earl here","9","charles_th_earl_northampton"
"91522","  303-charles-7th-earl-northampton_Chunk_10.mp3","this painting it's hard not to be moved to learn there's only 5 years later as young as tallow file died of tuberculosis when acting as an ambassador in Venice","10","charles_th_earl_northampton"
"91563","  3104_Claymore_Chunk_0.mp3","this is one of the few surviving examples of the true claymore two handed cutting sword used in the Highlands of Scotland and buy Scottish nurseries in Ireland","0","Claymore"
"91564","  3104_Claymore_Chunk_1.mp3","until the late 17th century the name comes from a Gaelic word meaning Greatsword and it was a brutally efficient weapon as this eyewitness account","1","Claymore"
"91565","  3104_Claymore_Chunk_2.mp3","the Battle of killiecrankie in 1689 testifies the enemy Lianne heaps so disfigured with twins and so highest in my","2","Claymore"
"91566","  3104_Claymore_Chunk_3.mp3","even the victims could not look upon them without surprise and horror many had a head divided into 2 halves by one blow all those had the skills cut off","3","Claymore"
"91567","  3104_Claymore_Chunk_4.mp3","the years the effect of belts were not sufficient to defend her shoulders from such as almost disclosed at intervals","4","Claymore"
"91568","  3104_Claymore_Chunk_5.mp3","bikes small swords and lake weapons were quite through and some that had one skull caps at them so be tinted","5","Claymore"
"91569","  3104_Claymore_Chunk_6.mp3","but they died on the spot this was one of the last time that the two handed claymore was used in battle","6","Claymore"
"91570","  3104_Claymore_Chunk_7.mp3","the firearm neutralized even less Powerful","7","Claymore"
"91359","  2110_Corinthian_helmet_Chunk_0.mp3","this kind of close-fitting helmet is called a Corinthian helmet after the ancient Greek city of Corinth with Richard is most closely associated in antiquity","0","Corinthian_helmet"
"91360","  2110_Corinthian_helmet_Chunk_1.mp3","from a single sheet of Bronze originally they would have been a nose guard and a long horse had plume on the top you'll see Warriors wearing printing helmets on several of the","1","Corinthian_helmet"
"91361","  2110_Corinthian_helmet_Chunk_2.mp3","ceramics in this gallery as well as a folding good protection against spear and sword blows the helmet lends an air of menace to its wearer in Homer's Iliad","2","Corinthian_helmet"
"91362","  2110_Corinthian_helmet_Chunk_3.mp3","Great War rhetoric of ancient Greece is a touching description of just how unsettling the site of a plumed Helm could be the trojan hero factor is talking to","3","Corinthian_helmet"
"91363","  2110_Corinthian_helmet_Chunk_4.mp3","andromache during a break from the fine he makes them braces son I stay and Furious Hector stretched out his arms for his son","4","Corinthian_helmet"
"91364","  2110_Corinthian_helmet_Chunk_5.mp3","the boy shrink back sobbing into the bosom of his fare girls nurse frightening by the sight of his beloved father terrified","5","Corinthian_helmet"
"91365","  2110_Corinthian_helmet_Chunk_6.mp3","the horsehair plume that wave Sofia from the crest of his helmet and his dear father and royal mother laughed","6","Corinthian_helmet"
"91366","  2110_Corinthian_helmet_Chunk_7.mp3","straightaway glorious Hector took the gleaming helmet from his head and laid it on the ground that he kissed his beloved some and took him in his arms and pray","7","Corinthian_helmet"
"91367","  2110_Corinthian_helmet_Chunk_8.mp3","juice and you had a God's Grant that my son may prove as I pre-eminent among the Trojans by the end of the","8","Corinthian_helmet"
"91368","  2110_Corinthian_helmet_Chunk_9.mp3","Father and Son would be dead and andromache like to Greece in trains","9","Corinthian_helmet"
"91555","  3103_Crossbow_Chunk_0.mp3","because it's bolts were shot relatively soundlessly the crossbow remained a popular hunting weapon long after the development of the gun this example","0","Crossbow"
"91556","  3103_Crossbow_Chunk_1.mp3","Germany in the mid 16th century and is a richly decorated piece adorned with scenes of inlaid bone or ivory depicting stories in the Old Testament","1","Crossbow"
"91557","  3103_Crossbow_Chunk_2.mp3","Roman history the crossbow had a long and bloody career as a weapon of war in 1139 a church council had","2","Crossbow"
"91558","  3103_Crossbow_Chunk_3.mp3","hateful to God so terrible of the wounds inflicted by the boats are officially declared to be unfit for Christians","3","Crossbow"
"91559","  3103_Crossbow_Chunk_4.mp3","first of England made a devastating use of crossbows during the Crusades he was himself killed by crossbow Bolt in 1199","4","Crossbow"
"91560","  3103_Crossbow_Chunk_5.mp3","14th century however English soldiers were carrying a different weapon into battle and crazy in Northern France in 1346 the genoese","5","Crossbow"
"91561","  3103_Crossbow_Chunk_6.mp3","in the service of the French king with pitched against the longbow men of Edward the English army the longer I had a greater Range and could discharge","6","Crossbow"
"91562","  3103_Crossbow_Chunk_7.mp3","what's it say that every bolt but the heavy unwieldy crossword fire Edward was a famous Victory","7","Crossbow"
"91223","  1701_Cupid_inspiring_the_plants_with_love_Chunk_0.mp3","in a tropical landscape cupid fires of passion and sparrows usually intended for mortals at a flower to help it propagate","0","Cupid_inspiring_the_plants_with_love"
"91224","  1701_Cupid_inspiring_the_plants_with_love_Chunk_1.mp3","would made to illustrate a 19th century English edition of the works of the great Swedish botanist linnaeus the man who gave plants the Latin names which they","1","Cupid_inspiring_the_plants_with_love"
"91225","  1701_Cupid_inspiring_the_plants_with_love_Chunk_2.mp3","who describe the reproductive system the painting of the large yellow lilium superbum usually hanging next to it was made for the same book","2","Cupid_inspiring_the_plants_with_love"
"91226","  1701_Cupid_inspiring_the_plants_with_love_Chunk_3.mp3","is Tim upson of Cambridge University Botanical Garden the flower that cupid is fine his sorrow at is the bird of paradise","3","Cupid_inspiring_the_plants_with_love"
"91227","  1701_Cupid_inspiring_the_plants_with_love_Chunk_4.mp3","time is strelitzia reginae it comes from South Africa and was first flat at the Royal Botanic Gardens Kew and named in Honour of","4","Cupid_inspiring_the_plants_with_love"
"91228","  1701_Cupid_inspiring_the_plants_with_love_Chunk_5.mp3","Charlotte who was the Princess of mecklenburg-strelitz and that's reflected in its botanical name the book for which the painting was made was also dedicated to Queen","5","Cupid_inspiring_the_plants_with_love"
"91229","  1701_Cupid_inspiring_the_plants_with_love_Chunk_6.mp3","and the publisher Robert Thornton so it's very much as a national undertale I transferred to show it standing in the world of botany and find pub","6","Cupid_inspiring_the_plants_with_love"
"91230","  1701_Cupid_inspiring_the_plants_with_love_Chunk_7.mp3","a sense of national pride if I have reflected in the floor the artist has placed around cupid too much what strikes me about the picture","7","Cupid_inspiring_the_plants_with_love"
"91231","  1701_Cupid_inspiring_the_plants_with_love_Chunk_8.mp3","ripping a plants which wouldn't occur naturally it's not a natural scheme answers if someone has bought all the exotic plants from around the world and plants","8","Cupid_inspiring_the_plants_with_love"
"91232","  1701_Cupid_inspiring_the_plants_with_love_Chunk_9.mp3","exotic and a cold very often economically important and of course many of the Colonial Empires were actually founded on economically and","9","Cupid_inspiring_the_plants_with_love"
"91617","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_0.mp3","this dish was once part of the Magnificent dinner service that belong to one of the greatest patrons and art collectors over Renaissance Italy Isabella d'este","0","Dish_from_the_Isabella_d'Este_Service"
"91618","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_1.mp3","marchesa of Manchester it was decorated by the celebrated Potter and painter Nicola de urbino around 15:24","1","Dish_from_the_Isabella_d'Este_Service"
"91619","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_2.mp3","quicker painting does not come much better than this the story that Nicola illustrate is adapted from The Metamorphosis are worked by the Roman poet of","2","Dish_from_the_Isabella_d'Este_Service"
"91620","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_3.mp3","and it tells of the strange courtship of the Greek hero pelias and the Shape shifting synonym for on the left","3","Dish_from_the_Isabella_d'Este_Service"
"91621","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_4.mp3","dressed in armour but weaponless stands above the sleeping foetus in an attitude of admiration and surprised originally Jupiter the","4","Dish_from_the_Isabella_d'Este_Service"
"91622","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_5.mp3","gods and intended to bed at this is urine seen him but the prophecy by her father Proteus to put him off the predicted that feature","5","Dish_from_the_Isabella_d'Este_Service"
"91623","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_6.mp3","our son would surpass his father in greatness and event that the king of the gods cannot contemplate Jupiter therefore sentenced at his grandson pelias","6","Dish_from_the_Isabella_d'Este_Service"
"91624","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_7.mp3","ravishly test in the lower centre of the dish the hero is fully upon them only for her to turn into a swan pierced","7","Dish_from_the_Isabella_d'Este_Service"
"91625","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_8.mp3","until dragon like she finally flexoffers unwanted Embrace the details Nicola has included between richest a picture of the myth","8","Dish_from_the_Isabella_d'Este_Service"
"91626","  705_Dish_from_the_Isabella_d'Este_Service_Chunk_9.mp3","floral crown the outraged expression on the swans face he uses recoiling gesture as a purple Winged Dragon Snapchat","9","Dish_from_the_Isabella_d'Este_Service"
"91634","  707_Dish_from_the_Pucci_Service_Chunk_0.mp3","the picture scene from the celebrated Italian poem Orlando furioso and early sixteenth century attic relating address","0","Dish_from_the_Pucci_Service"
"91635","  707_Dish_from_the_Pucci_Service_Chunk_1.mp3","two Heroes Orlando and ruggiero professor Patrick Boyd of Cambridge University explains what we see here","1","Dish_from_the_Pucci_Service"
"91639","  707_Dish_from_the_Pucci_Service_Chunk_2.mp3","very long narrative poem written in the early part of the 16th century which was an immediate success and it's one of the","2","Dish_from_the_Pucci_Service"
"91640","  707_Dish_from_the_Pucci_Service_Chunk_3.mp3","Italian Dutch at the most enjoyable if there are 10 is currently in Africa and the story is said here on the shores of Africa and he has arrived","3","Dish_from_the_Pucci_Service"
"91641","  707_Dish_from_the_Pucci_Service_Chunk_4.mp3","and without any sort of course is with two friends called brandy man who are going to","4","Dish_from_the_Pucci_Service"
"91642","  707_Dish_from_the_Pucci_Service_Chunk_5.mp3","against 3 to bring this water is final conclusion probably on that island in the background but I suspect it's intended for Lampedusa","5","Dish_from_the_Pucci_Service"
"91643","  707_Dish_from_the_Pucci_Service_Chunk_6.mp3","and eventually they go along the shore and they see a ship there which has been brought Ashore by the wind and on this ship boats","6","Dish_from_the_Pucci_Service"
"91644","  707_Dish_from_the_Pucci_Service_Chunk_7.mp3","find horse entry cost from Tina and the Soul the Magic Sword balance Ireland and an impregnable suit of armour and they're pause","7","Dish_from_the_Pucci_Service"
"91645","  707_Dish_from_the_Pucci_Service_Chunk_8.mp3","between each other such that Orlando in the foreground gets the Sword and reaches out for the horse and you can see the live here are trying on","8","Dish_from_the_Pucci_Service"
"91646","  707_Dish_from_the_Pucci_Service_Chunk_9.mp3","and how did this farmer get their wealth or Jarrow did have it but he was on the boat and a great storm blew up and the crew abandoned ship","9","Dish_from_the_Pucci_Service"
"91636","  707_Dish_from_the_Pucci_Service_Chunk_10.mp3","and then the ship was blown without its crew and without his passengers on to the shores of Africa which is where we are the plate Bears the distinctive morshead coat of","10","Dish_from_the_Pucci_Service"
"91637","  707_Dish_from_the_Pucci_Service_Chunk_11.mp3","the powerful Pudsey family of Florence is decorated by the painter Francesco xanto of early in 1532","11","Dish_from_the_Pucci_Service"
"91638","  707_Dish_from_the_Pucci_Service_Chunk_12.mp3","agonists on figures in a print after a work by Rafael two pics in Paris is abduction of the Greek Queen Helen to Troy","12","Dish_from_the_Pucci_Service"
"91279","  203-east-bergholt_Chunk_0.mp3","Constable was born and raised in rural Suffolk in East Anglia his life he produces images that remain among the most brilliant of that match painted County","0","east_bergholt"
"91280","  203-east-bergholt_Chunk_1.mp3","the spontaneous looking oil sketch on millboard is a view from his parents house in East Bergholt the village where the artist grew up and which is at the heart","1","east_bergholt"
"91281","  203-east-bergholt_Chunk_2.mp3","is evening is owned a known as Constable country it was painted in 1808 when the artist was studying at the schools of the Royal Academy in London and when he was just","2","east_bergholt"
"91282","  203-east-bergholt_Chunk_3.mp3","to experiment with scratching and oils out of doors the Red House at the edge of the distinctive clump of trees over the bridge is East Bergholt","3","east_bergholt"
"91283","  203-east-bergholt_Chunk_4.mp3","in the foreground where the young artist would in 1809 begin his courtship Maria Bicknell the granddaughter of the rector in 1814","4","east_bergholt"
"91284","  203-east-bergholt_Chunk_5.mp3","The Descent Fields with fondest in a letter to Maria I can hardly tell you what I feel at the site from the window where I am now writing of the fields in which we","5","east_bergholt"
"91285","  203-east-bergholt_Chunk_6.mp3","often walked a beautiful Carmel terminal setting sun is glowing up on the Gardens of the Rectory and an adjacent field","6","east_bergholt"
"91676","  803_Flemish_cabinet_Chunk_0.mp3","the 13 painting spread over this cabinet office seventeenth-century retelling of the story of the prodigal son in the New Testament","0","Flemish_cabinet"
"91677","  803_Flemish_cabinet_Chunk_1.mp3","which a young man squandered his inheritance and becomes destitute before being welcomed back into the heart of his loving family the overall depth","1","Flemish_cabinet"
"91683","  803_Flemish_cabinet_Chunk_2.mp3","pression hair was 1 senses more important than the individual excellence of each panel the quality of painting throughout his not even the larger paintings on the doors for instance","2","Flemish_cabinet"
"91684","  803_Flemish_cabinet_Chunk_3.mp3","carefully made those on the drawers the choice of the story in which the values of forgiveness and repentance that place to bother material concerns","3","Flemish_cabinet"
"91685","  803_Flemish_cabinet_Chunk_4.mp3","the appropriate the 17th century Antwerp where the cabinet was produced this was a devoutly religious get commercially booming Society and the power","4","Flemish_cabinet"
"91686","  803_Flemish_cabinet_Chunk_5.mp3","what is a warning against the abuse of wealth and a demonstration that such a buces could be forgiven cabinets like this were produced in large numbers in Antrim","5","Flemish_cabinet"
"91687","  803_Flemish_cabinet_Chunk_6.mp3","the best might have been used as diplomatic gifts but most like this example will probably ever done the rooms of well-to-do merchants perhaps be used as display case","6","Flemish_cabinet"
"91688","  803_Flemish_cabinet_Chunk_7.mp3","the collections of curiosities the central panel is perhaps the most successful of the smaller panels on the cabinet here the viewer is","7","Flemish_cabinet"
"91689","  803_Flemish_cabinet_Chunk_8.mp3","find the prodigals mother and father who watch their remorseful offspring approaching From a Distance down an avenue of trees as the bible narrative says","8","Flemish_cabinet"
"91690","  803_Flemish_cabinet_Chunk_9.mp3","but when he was yet a great way off his father saw him and had compassion and ran and fell on his neck and kissed him","9","Flemish_cabinet"
"91678","  803_Flemish_cabinet_Chunk_10.mp3","sunset on to him father I have sinned against heaven and in nice sight and I'm no more worthy to be called by son","10","Flemish_cabinet"
"91679","  803_Flemish_cabinet_Chunk_11.mp3","father said to his servant the best robe and put it on him and put a ring on his hand and shoes on his feet and bring","11","Flemish_cabinet"
"91680","  803_Flemish_cabinet_Chunk_12.mp3","fatted calf and kill it and let us eat and be merry for this my son was dead and is alive again he was lost","12","Flemish_cabinet"
"91681","  803_Flemish_cabinet_Chunk_13.mp3","found they began to be Mary we see this touching reunion taking place on the flat at the top of the cabinet the family","13","Flemish_cabinet"
"91682","  803_Flemish_cabinet_Chunk_14.mp3","trucks to join the embrace all the prodigal brother looks jealous Leon","14","Flemish_cabinet"
